id,srouce,name,brand,img-src,latest-price,retail-price,sale
sku.220500339,https://phongvu.vn/aspire-3-a315-58-54m5-nx-addsv-00m--s220500339,Laptop Acer Aspire 3 A315-58-54M5 (NX.ADDSV.00M) (i5-1135G7),ACER,https://lh3.googleusercontent.com/NSBRjtSAfP2208zGL7EG7bQLbrdyHwlBzR7vvJ_1Tg-XhXEgBi3_o3yo-4Gu4LjBfp4kGF_DIk_QIjUtv890wvG5_awvFQQ=w500-rw,13.690.000,16.790.000,18.463
sku.230202030,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-swft-edge-sfa16-41-r3l6-nx-kabsv-002-amd-ryzen-7-6800h-trang--s230202030,Laptop ACER Swift Edge SFA16-41-R3L6 (NX.KABSV.002) (Ryzen 7 6800U/ RAM 16GB/ Onboard/ 1TB SSD/ Windows 11),ACER,https://lh3.googleusercontent.com/uQnYkizzOMC8L4V9oSU5JlB8JzWBFTjAvl5y-6DE39tiDIY5IBdOpW-KjiK-2Bncrl34wkQPzvDANY7zbGll0QkAqruG7k5G=w500-rw,25.990.000,39.990.000,35.009
sku.230300538,https://phongvu.vn/may-tinh-xach-tay-laptop-gigabyte-g5-ge-51vn263sh-i5-12500h-den--s230300538,Laptop GIGABYTE G5 GE-51VN263SH (i5-12500H/ RAM 8GB/ GeForce RTX™ 3050/ 512GB SSD/ Windows 10),GIGABYTE,https://lh3.googleusercontent.com/6Rcf_orkHuuPhdTuITibItXV2gQsJJL8QRP9h53kcJ-tLbLEWYx9qLyhQkEq28j0U-OcrArXaW_b85R2fGQBOqarkPkdjnza=w500-rw,19.290.000,25.590.000,24.619
sku.230402250,https://phongvu.vn/laptop-msi-modern-15-b7m-231vn-amd-ryzen-5-7530u-den--s230402250,Laptop MSI Modern 15 B7M-231VN (AMD Ryzen 5 7530U) (Đen),MSI,https://lh3.googleusercontent.com/iElOAYylftkpqMVlTzMZY_gxcC2G2Ht4wJgRLolHecuTUKi3sEYhbClayd7VUsJ9dWDpVdH_Fq24WtDJSwimdjpahhtR67A=w500-rw,14.990.000,0,0
sku.230901126,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-15-eg3112tu-8u6l9pa-i7-1355u-bac--s230901126,Laptop HP Pavilion 15-eg3112TU (8U6L9PA) (i7-1355U/ RAM 16GB/ Onboard/ 512GB SSD/ Windows 11),HP,https://lh3.googleusercontent.com/548ct3lOsNU7PxugT0028B2HBpUUPE65tkjZss2wCmB8e7ji5t0Z6eq37Rn4vXBk3zx6Q_ZLppwE1icWtsjCSgxLVg5f_zCF8w=w500-rw,22.990.000,25.290.000,9.095
sku.230903463,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-15-fd0079tu-8d732pa-i5-1335u-bac--s230903463,Laptop HP 15-fd0079TU - 8D732PA (i5-1335U/ RAM 16GB/ Onboard/ 512GB SSD/ Windows 11),HP,https://lh3.googleusercontent.com/FwhlwHB8exvxmG64ty6alZNd5hIsFQOhhfLep_XsHbIZaV3zudftmHFRhIkfPLfCs51D01bq8VAa1wIjIEKABX8xeRvA_HkK=w500-rw,16.890.000,19.590.000,13.783
sku.231100722,https://phongvu.vn/apple-macbook-pro-14-inch-m3-pro-18gb-1tb-ssd--p534245,MacBook Pro 14 inch M3 Pro 2023 (18GB/1TB SSD),APPLE,https://lh3.googleusercontent.com/Tivc5klWuSU5IjFvUWG1JHrklmQl5tdtT8Mur7KlJlDfd0Z4GgzQLZaz1fiYUOKRck9zRd0f4lJ7dEAFV_p0RLBiH9Ub-S5Yzw=w500-rw,58.990.000,61.290.000,3.753
sku.231100727,https://phongvu.vn/apple-macbook-pro-14-inch-m3-8gb-512gb-ssd--p534247,MacBook Pro 14 inch M3 2023 (8GB/512GB SSD),APPLE,https://lh3.googleusercontent.com/k-6KhKrd_E2wc3vntIXWTb17HCkC673wKe6YBNnPbXlWfVdkJeVQAg6pecUXkUkRNYxBjjW2zMqZV8IKgpGZzvSt4x24AmewUQ=w500-rw,38.190.000,40.890.000,6.603
sku.240200161,https://phongvu.vn/laptop-lenovo-loq-15iax9-83gs000rvn-i5-12450hx-xam--s240200161,Laptop gaming Lenovo LOQ 15IAX9 - 83GS000RVN (i5-12450HX/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),Lenovo,https://lh3.googleusercontent.com/JXU4wv09zPlgPl8VZAz6jf_azRhJksQYeeOtuwNrD9iDlT4TZT-jJuM5x48bPK7V2xfsOh4_J_10Lb-pt8NU2mcEYvu2WFY0=w500-rw,25.990.000,27.990.000,7.145
sku.240201275,https://phongvu.vn/laptop-hp-victus-16-r0229tx-9q980pa-i5-13500h-xanh--s240201275,Laptop gaming HP Victus 16-r0229TX - 9Q980PA (i5-13500H/RAM 32GB/GeForce RTX 4050/512GB SSD/ Windows 11),HP,https://lh3.googleusercontent.com/hPXUGbNjvX0wtDlF4GvojPoG8JJ5OFrpZg-p8vIakS8cowP5QcNV9wei4LCdWoHtIu0M4iWvPj6_xh8OLNRVewMMTZ1b88UV=w500-rw,30.890.000,33.290.000,7.209
