id,source,name,brand,img-src,latest-price,retail-price,sale,available
No.00908487,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-v15-g4-iru-i5-13420h,"Laptop Lenovo V15 G4 IRU i5 13420H/8GB/512GB/15.6""FHD/Win 11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_5_15_638513704128810543_lenovo-v15-g4-iru-iron-grey.jpg,10.490.000,14.490.000,28,False
No.00908489,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-ultra-7-155h,"Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 7-155H/AI/16GB/512G/14""WUXGA/OLED/Win 11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/small/2024_5_15_638513680207449021_len_4c6734af8c.jpg,24.490.000,25.690.000,5,True
No.00907328,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-3-15irh8-i7-13620h,"Laptop Lenovo Ideapad Slim 3 15IRH8 i7 13620H/16GB/512GB/15.6"" FHD/Win 11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_4_3_638477612947090232_lenovo-ideapad-slim-3-15irh8-i7-13620h-1.jpg,16.990.000,18.490.000,8,True
No.00907186,https://fptshop.com.vn/may-tinh-xach-tay/macbook-air-m3-13-2024-8cpu-10gpu-16gb-256gb,Macbook Air M3 13 2024 8CPU 10GPU/16GB/256GB,Macbook,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_3_20_638465487289151222_macbook-air-m3-13-2024-xanh-1.jpg,29.290.000,32.990.000,11,True
No.00906639,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a315-510p-34xz-i3-n305,"Laptop Acer Aspire 3 A315-510P-34XZ i3 N305/8GB/512GB/15.6""FHD/Win11",Acer,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_4_20_638176054476482166_acer-aspire-a315-59-321n-i3-1215u-bac-1.jpg,9.490.000,10.990.000,14,True
No.00899872,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-15iau7-i7-1255u,"Laptop Lenovo Ideapad 3 15IAU7 i7 1255U/16GB/512GB/15.6""FHD/Win 11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_8_18_638279529085312198_lenovo-ideapad-3-15iau7-xam-5.jpg,15.490.000,16.990.000,9,False
No.00898312,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-14iah8-i5-12450h,"Laptop Lenovo IdeaPad 3 14IAH8 i5 12450H/16GB/512GB/14""FHD/Win11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_8_15_638276943814922316_lenovo-ideapad-3-14iah8-xam-1.jpg,13.890.000,15.990.000,13,True
No.00900050,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-aero-13-be2098au-r7-7735u,Laptop HP Pavilion Aero 13-be2098AU R7 7735U/16GB/512GB/13.3'WUXGA/Win11,Hp,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_8_24_638284697135623321_hp-pavilion-aero-13-bac-1.jpg,18.990.000,21.990.000,14,True
No.00904510,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-flip-tp3402va-lz118w-i9-13900h,"Laptop Asus Vivobook Flip TP3402VA-LZ118W i9 13900H/16GB/512GB/14""Touch/Win11",Asus,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_3_24_638152764193437366_asus-vivobook-flip-tn3402y-bac-1.jpg,0,0,0,False
No.00904509,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-pro-k6502vu-ma090w-i9-13900h,"Laptop Asus Vivobook Pro K6502VU-MA090W i9 13900H/16GB/512GB/RTX4050 6GB/15.6""/Win11",Asus,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_9_18_638306578178233922_asus-vivobook-pro-k6502vu-ma090w-i9-13900h-3.jpg,0,0,0,False
